Series,Year
/wiki/Ac%C4%B1mak_(dizi),1975-1999
"/wiki/A%C5%9Fk-%C4%B1_Memnu_(dizi,_1975)",1975-1999
/wiki/Ate%C5%9Ften_G%C3%BCnler,1975-1999
/wiki/Aynal%C4%B1_Tahir,1975-1999
/wiki/Ayr%C4%B1lsak_da_Beraberiz_(dizi),1975-1999
/wiki/Ay%C5%9Fecik_(dizi),1975-1999
/wiki/Baba_Evi_(dizi),1975-1999
/wiki/Ba%C5%9Fka_Olur_A%C4%9Falar%C4%B1n_D%C3%BC%C4%9F%C3%BCn%C3%BC,1975-1999
/wiki/Bizimkiler_(dizi),1975-1999
/wiki/Bizim_Aile_(dizi),1975-1999
"/wiki/Bizim_Ev_(dizi,_1995)",1975-1999
/wiki/Bizim_Kuruntu_Ailesi,1975-1999
/wiki/Bizim_Mahalle_(dizi),1975-1999
/wiki/B%C3%B6yle_mi_Olacakt%C4%B1,1975-1999
"/wiki/Bug%C3%BCn%C3%BCn_Sarayl%C4%B1s%C4%B1_(dizi,_1985)",1975-1999
/wiki/B%C3%BCc%C3%BCr_Cad%C4%B1,1975-1999
/wiki/Can%C4%B1s%C4%B1_(dizi),1975-1999
/wiki/%C3%87arli,1975-1999
"/wiki/%C3%87al%C4%B1ku%C5%9Fu_(dizi,_1986)",1975-1999
/wiki/%C3%87%C4%B1lg%C4%B1n_Bedi%C5%9F_(dizi),1975-1999
/wiki/%C3%87i%C3%A7ek_Taksi,1975-1999
/wiki/Deli_Y%C3%BCrek,1975-1999
/wiki/Dokuzuncu_Hariciye_Ko%C4%9Fu%C5%9Fu_(dizi),1975-1999
/wiki/Eltiler,1975-1999
/wiki/Ferhunde_Han%C4%B1mlar,1975-1999
/wiki/Gen%C3%A7ler_(dizi),1975-1999
/wiki/Gurbet%C3%A7iler,1975-1999
/wiki/G%C3%BCl%C5%9Fen_Abi,1975-1999
/wiki/G%C3%BCl_ve_Diken,1975-1999
/wiki/H%C3%BCsn%C3%BC_Bey_Amca,1975-1999
/wiki/%C4%B0stanbul_(dizi),1975-1999
/wiki/Kanun_Sava%C5%9F%C3%A7%C4%B1lar%C4%B1,1975-1999
/wiki/Kara_Melek,1975-1999
/wiki/Kaynanalar,1975-1999
/wiki/Kayg%C4%B1s%C4%B1zlar_(dizi),1975-1999
/wiki/Kurtulu%C5%9F_(dizi),1975-1999
/wiki/Kuruntu_Ailesi,1975-1999
"/wiki/K%C3%BC%C3%A7%C3%BCk_A%C4%9Fa_(dizi,_1984)",1975-1999
/wiki/K%C3%BC%C3%A7%C3%BCk_Besleme,1975-1999
/wiki/K%C3%BC%C3%A7%C3%BCk_%C4%B0bo,1975-1999
/wiki/Mahallenin_Muhtarlar%C4%B1,1975-1999
/wiki/Mardin-M%C3%BCnih_Hatt%C4%B1,1975-1999
/wiki/Marziye,1975-1999
/wiki/%C3%96r%C3%BCmcek_(dizi),1975-1999
/wiki/Perihan_Abla,1975-1999
/wiki/Portatif_H%C3%BCseyin,1975-1999
/wiki/Ruhsar,1975-1999
/wiki/Samanyolu_(dizi),1975-1999
/wiki/S%C4%B1d%C4%B1ka_(dizi),1975-1999
/wiki/S%C4%B1r%C4%B1ls%C4%B1klam_(dizi),1975-1999
/wiki/S%C3%BCper_Baba_(dizi),1975-1999
/wiki/%C5%9Ea%C5%9F%C4%B1felek_%C3%87%C4%B1kmaz%C4%B1,1975-1999
/wiki/%C5%9Eehnaz_Tango,1975-1999
/wiki/Tatl%C4%B1_Ka%C3%A7%C4%B1klar,1975-1999
/wiki/T%C3%BCrkmen_D%C3%BC%C4%9F%C3%BCn%C3%BC,1975-1999
/wiki/U%C4%9Furlugiller,1975-1999
/wiki/Umut_Taksi,1975-1999
/wiki/%C3%9C%C3%A7_%C4%B0stanbul_(dizi),1975-1999
/wiki/%C3%9Cvey_Baba,1975-1999
"/wiki/Yaprak_D%C3%B6k%C3%BCm%C3%BC_(dizi,_1988)",1975-1999
/wiki/Yaz_Evi,1975-1999
/wiki/Yazl%C4%B1k%C3%A7%C4%B1lar,1975-1999
/wiki/Y%C4%B1lan_Hik%C3%A2yesi,1975-1999
/wiki/Yedi_Numara,2000-2005
/wiki/Ac%C4%B1_Hayat_(dizi),2000-2005
/wiki/Alacakaranl%C4%B1k_(dizi),2000-2005
/wiki/Aliye_(dizi),2000-2005
/wiki/Asmal%C4%B1_Konak,2000-2005
/wiki/A%C5%9Fka_S%C3%BCrg%C3%BCn,2000-2005
/wiki/A%C5%9Fk%C4%B1m_A%C5%9Fk%C4%B1m,2000-2005
/wiki/Avrupa_Yakas%C4%B1_(dizi),2000-2005
/wiki/Bayanlar_Baylar,2000-2005
/wiki/Belal%C4%B1_Bald%C4%B1z,2000-2005
/wiki/Be%C5%9Finci_Boyut_(dizi),2000-2005
/wiki/Beyaz_Gelincik,2000-2005
/wiki/Bir_%C4%B0stanbul_Masal%C4%B1,2000-2005
/wiki/Bizim_Evin_Halleri,2000-2005
/wiki/B%C3%BCy%C3%BCk_Bulu%C5%9Fma,2000-2005
/wiki/B%C3%BCy%C3%BCk_Yalan,2000-2005
/wiki/B%C3%BCy%C3%BCm%C3%BC%C5%9F_de_K%C3%BC%C3%A7%C3%BClm%C3%BC%C5%9F,2000-2005
/wiki/Cennet_Mahallesi,2000-2005
/wiki/%C3%87apk%C4%B1n_(dizi),2000-2005
/wiki/%C3%87emberimde_G%C3%BCl_Oya_(dizi),2000-2005
/wiki/%C3%87ocuklar_Duymas%C4%B1n,2000-2005
/wiki/%C3%87ocuklar_Ne_Olacak,2000-2005
/wiki/Dad%C4%B1_(dizi),2000-2005
/wiki/Ekmek_Teknesi,2000-2005
/wiki/Emret_Komutan%C4%B1m_(dizi),2000-2005
/wiki/En_Son_Babalar_Duyar,2000-2005
/wiki/Esir_%C5%9Eehrin_%C4%B0nsanlar%C4%B1_(dizi),2000-2005
/wiki/G%C3%BClbeyaz,2000-2005
/wiki/G%C3%BCm%C3%BC%C5%9F_(dizi),2000-2005
/wiki/Hayat_Bilgisi,2000-2005
/wiki/Haziran_Gecesi,2000-2005
"/wiki/Hekimo%C4%9Flu_(dizi,_2003)",2000-2005
/wiki/H%C4%B1rs%C4%B1z_Polis,2000-2005
/wiki/H%C3%BCrrem_Sultan_(dizi),2000-2005
/wiki/Gurbet_Kad%C4%B1n%C4%B1,2000-2005
/wiki/Ihlamurlar_Alt%C4%B1nda,2000-2005
/wiki/%C4%B0kinci_Bahar_(dizi),2000-2005
/wiki/Kad%C4%B1n_%C4%B0sterse,2000-2005
/wiki/Kalp_G%C3%B6z%C3%BC_(dizi),2000-2005
/wiki/Kamp%C3%BCsistan,2000-2005
/wiki/Kezban_Yenge,2000-2005
/wiki/K%C4%B1nal%C4%B1_Kar,2000-2005
/wiki/Ko%C3%A7um_Benim_(dizi),2000-2005
/wiki/Kurtlar_Vadisi_(dizi),2000-2005
/wiki/Kur%C5%9Fun_Yaras%C4%B1,2000-2005
/wiki/Lise_Defteri,2000-2005
/wiki/Mavi_R%C3%BCya,2000-2005
/wiki/Serseri_(dizi),2000-2005
/wiki/Sihirli_Annem,2000-2005
/wiki/S%C4%B1rlar_D%C3%BCnyas%C4%B1,2000-2005
/wiki/Sultan_Makam%C4%B1,2000-2005
/wiki/%C5%9Eubat_So%C4%9Fu%C4%9Fu,2000-2005
/wiki/%C5%9E%C3%B6hret_(dizi),2000-2005
/wiki/Tatl%C4%B1_Hayat_(dizi),2000-2005
/wiki/Vay_Anam_Vay,2000-2005
/wiki/Yabanc%C4%B1_Damat,2000-2005
/wiki/Yan%C4%B1k_Koza,2000-2005
/wiki/Yar%C4%B1m_Elma,2000-2005
/wiki/Yeditepe_%C4%B0stanbul,2000-2005
/wiki/Yeniden_%C3%87al%C4%B1ku%C5%9Fu,2000-2005
/wiki/Zehirli_%C3%87i%C3%A7ek_(dizi),2000-2005
/wiki/Zerda,2000-2005
/wiki/Acemi_Cad%C4%B1,2006
/wiki/Adak_(dizi),2006
/wiki/Arka_Sokaklar_(dizi),2006
/wiki/Binbir_Gece_(dizi),2006
/wiki/Doktorlar_(dizi),2006
/wiki/F%C4%B1rt%C4%B1na_(dizi),2006
/wiki/G%C3%B6n%C3%BCl_(dizi),2006
/wiki/Hat%C4%B1rla_Sevgili,2006
/wiki/Hayat_T%C3%BCrk%C3%BCs%C3%BC,2006
/wiki/%C4%B0ki_Aile,2006
/wiki/Kad%C4%B1n_%C4%B0sterse,2006
/wiki/Kaybolan_Y%C4%B1llar_(dizi),2006
/wiki/K%C4%B1nal%C4%B1_Kuzular,2006
/wiki/K%C4%B1r%C4%B1k_Kanatlar_(dizi),2006
/wiki/Kod_Ad%C4%B1,2006
/wiki/K%C3%B6pr%C3%BC_(dizi),2006
/wiki/Pertev_Bey%27in_%C3%9C%C3%A7_K%C4%B1z%C4%B1,2006
/wiki/Sa%C4%9F%C4%B1r_Oda,2006
/wiki/Selena_(dizi),2006
/wiki/Sevda_%C3%87i%C3%A7e%C4%9Fi_(dizi),2006
/wiki/S%C4%B1la_(dizi),2006
/wiki/Ya%C4%9Fmurdan_Sonra,2006
/wiki/Yalanc%C4%B1_Yarim_(dizi),2006
"/wiki/Yaprak_D%C3%B6k%C3%BCm%C3%BC_(dizi,_2006)",2006
/wiki/Ye%C5%9Feren_D%C3%BC%C5%9Fler,2006
/wiki/Annem,2007
/wiki/Arka_S%C4%B1radakiler,2007
/wiki/Asi_(dizi),2007
/wiki/A%C5%9Fk_Kap%C4%B1y%C4%B1_%C3%87al%C4%B1nca_(dizi),2007
/wiki/Bez_Bebek_(dizi),2007
/wiki/B%C4%B1%C3%A7ak_S%C4%B1rt%C4%B1_(dizi),2007
"/wiki/Dudaktan_Kalbe_(dizi,_2007)",2007
/wiki/Elveda_Derken,2007
/wiki/Elveda_Rumeli,2007
"/wiki/Fedai_(dizi,_2007)",2007
/wiki/Fesupanallah,2007
/wiki/Geni%C5%9F_Zamanlar_(dizi),2007
/wiki/Genco,2007
/wiki/Hakk%C4%B1n%C4%B1_Helal_Et,2007
/wiki/Hayal_ve_Ger%C3%A7ek,2007
/wiki/Hepsi_1,2007
/wiki/Karay%C4%B1lan_(dizi),2007
"/wiki/Kavak_Yelleri_(dizi,_2007)",2007
/wiki/Komedi_D%C3%BCkkan%C4%B1,2007
/wiki/Kurtlar_Vadisi_Pusu,2007
/wiki/Kurtlar_Vadisi_Ter%C3%B6r,2007
/wiki/Kuzey_R%C3%BCzg%C3%A2r%C4%B1,2007
/wiki/Mah%C5%9Fer-Nabucco%27nun_Zehri,2007
/wiki/Menek%C5%9Fe_ile_Halil,2007
/wiki/Parmakl%C4%B1klar_Ard%C4%B1nda,2007
/wiki/Sevgili_D%C3%BCn%C3%BCr%C3%BCm,2007
/wiki/S%C4%B1r_Gibi,2007
/wiki/Tatl%C4%B1_Bela_Fadime,2007
/wiki/Tek_T%C3%BCrkiye,2007
/wiki/Vazge%C3%A7_G%C3%B6nl%C3%BCm,2007
/wiki/Yeni_Evli,2007
/wiki/Yersiz_Yurtsuz,2007
/wiki/Zeliha%27n%C4%B1n_G%C3%B6zleri,2007
/wiki/1_Erkek_1_Kad%C4%B1n_2_%C3%87ocuk,2008
/wiki/Adanal%C4%B1,2008
/wiki/Akasya_Dura%C4%9F%C4%B1,2008
/wiki/A%C5%9Fk_Yakar,2008
"/wiki/A%C5%9Fk-%C4%B1_Memnu_(dizi,_2008)",2008
/wiki/A%C5%9Fk%C4%B1m_A%C5%9Fk%C4%B1m,2008
/wiki/Baba_Oca%C4%9F%C4%B1,2008
/wiki/Benim_Annem_Bir_Melek,2008
"/wiki/Bir_Varm%C4%B1%C5%9F_Bir_Yokmu%C5%9F_(dizi,_2008)",2008
/wiki/Can%C4%B1m_Ailem,2008
/wiki/Cesaretin_Var_M%C4%B1_A%C5%9Fka,2008
/wiki/%C3%87ok_G%C3%BCzel_Hareketler_Bunlar,2008
/wiki/Do%C4%9Fruluk_Ekseni,2008
/wiki/Doksandokuz,2008
/wiki/Doludizgin_Y%C4%B1llar,2008
"/wiki/Dur_Yolcu_(dizi,_2008)",2008
/wiki/Emret_Komutan%C4%B1m_(dizi),2008
/wiki/Eyvah_Halam,2008
/wiki/Gece_G%C3%BCnd%C3%BCz,2008
/wiki/G%C3%B6rg%C3%BCs%C3%BCzler_(dizi),2008
/wiki/G%C3%BCld%C3%BCnya_(dizi),2008
/wiki/Hepimiz_Birimiz_%C4%B0%C3%A7in,2008
/wiki/K%C4%B1rm%C4%B1z%C4%B1_I%C5%9F%C4%B1k,2008
/wiki/Kollama,2008
/wiki/K%C3%BC%C3%A7%C3%BCk_Kad%C4%B1nlar_(dizi),2008
/wiki/Memur_Muzaffer,2008
/wiki/Mert_ile_Gert,2008
/wiki/%C3%96l%C3%BCm_%C3%87i%C3%A7ekleri-Saraybosna,2008
/wiki/Pars:_Narkoter%C3%B6r,2008
/wiki/Pulsar_(dizi),2008
/wiki/S%C3%BCper_Babaanne,2008
/wiki/Unutma_Beni,2008
/wiki/Yalanc%C4%B1_Romantik,2008
/wiki/Yol_Arkada%C5%9F%C4%B1m_(dizi),2008
/wiki/Aile_Reisi,2009
/wiki/Aile_Saadeti,2009
"/wiki/Alt%C4%B1n_K%C4%B1zlar_(dizi,_2009)",2009
/wiki/Aynadaki_D%C3%BC%C5%9Fman,2009
"/wiki/Ayr%C4%B1l%C4%B1k_(dizi,_2009)",2009
/wiki/Bir_Bulut_Olsam,2009
/wiki/Bu_Kalp_Seni_Unutur_mu%3F_(dizi),2009
/wiki/Deniz_Y%C4%B1ld%C4%B1z%C4%B1_(dizi),2009
/wiki/Ezel_(dizi),2009
/wiki/Geni%C5%9F_Aile,2009
/wiki/Haneler,2009
"/wiki/Han%C4%B1m%C4%B1n_%C3%87iftli%C4%9Fi_(dizi,_2009)",2009
/wiki/Kahve_Bahane,2009
/wiki/Kapal%C4%B1%C3%A7ar%C5%9F%C4%B1_(dizi),2009
/wiki/Ritmini_Arayan_Kalpler,2009
/wiki/K%C3%BCl_ve_Ate%C5%9F,2009
/wiki/Makber_(dizi),2009
/wiki/Melekler_Korusun,2009
/wiki/Papatyam,2009
/wiki/Sakarya_F%C4%B1rat,2009
/wiki/S%C4%B1k%C4%B1_Dostlar_(dizi),2009
/wiki/Unutulmaz_(dizi),2009
/wiki/A%C5%9Fk_ve_Ceza,2010
/wiki/Behzat_%C3%87._Bir_Ankara_Polisiyesi,2010
/wiki/Bitmeyen_%C5%9Eark%C4%B1_(dizi),2010
"/wiki/%C3%87ocuklar_Duymas%C4%B1n_(dizi,_2010)",2010
/wiki/Deli_Sarayl%C4%B1,2010
/wiki/Farkl%C4%B1_Desenler,2010
/wiki/Fatmag%C3%BCl%27%C3%BCn_Su%C3%A7u_Ne%3F_(dizi),2010
/wiki/G%C3%B6n%C3%BCl_Ferman_Dinlemiyor_(dizi),2010
/wiki/G%C3%B6n%C3%BCl%C3%A7elen_(dizi),2010
/wiki/G%C3%BCneydo%C4%9Fudan_%C3%96yk%C3%BCler_%C3%96nce_Vatan,2010
/wiki/Halil_%C4%B0brahim_Sofras%C4%B1,2010
/wiki/Kader_%C3%87izgisi,2010
/wiki/Kan%C4%B1t_(dizi),2010
/wiki/K%C4%B1z%C4%B1m_Nerede%3F,2010
/wiki/K%C3%BC%C3%A7%C3%BCk_S%C4%B1rlar,2010
/wiki/K%C3%BCst%C3%BCm_%C3%87i%C3%A7e%C4%9Fi,2010
/wiki/Lale_Devri_(dizi),2010
/wiki/%C3%96%C4%9Fretmen_Kemal_(dizi),2010
/wiki/%C3%96yle_Bir_Ge%C3%A7er_Zaman_ki,2010
/wiki/%C5%9Eefkat_Tepe,2010
/wiki/%C5%9Een_Yuva,2010
"/wiki/T%C3%BCrk_Mal%C4%B1_(dizi,_2010)",2010
/wiki/T%C3%BCrkan_(dizi),2010
/wiki/Umut_Yolcular%C4%B1,2010
/wiki/Yah%C5%9Fi_Cazibe,2010
/wiki/Yer_G%C3%B6k_A%C5%9Fk,2010
/wiki/Ad%C4%B1n%C4%B1_Feriha_Koydum,2011
/wiki/Al_Yazmal%C4%B1m,2011
/wiki/Alemin_K%C4%B1ral%C4%B1,2011
/wiki/A%C5%9Fa%C4%9F%C4%B1_Yukar%C4%B1_Yemi%C5%9Flililer,2011
/wiki/Avrupa_Avrupa,2011
/wiki/Beni_Affet,2011
/wiki/Bir_%C3%87ocuk_Sevdim_(dizi),2011
/wiki/Canan_(dizi),2011
/wiki/Cennetin_S%C4%B1rlar%C4%B1,2011
/wiki/Dedektif_Memoli,2011
/wiki/Dinle_Sevgili_(dizi),2011
/wiki/Firar_(dizi),2011
/wiki/Hayat_Devam_Ediyor_(dizi),2011
/wiki/%C4%B0ffet_(dizi),2011
/wiki/%C4%B0stanbul%E2%80%99un_Alt%C4%B1nlar%C4%B1,2011
/wiki/%C4%B0zmir_%C3%87etesi,2011
"/wiki/Ke%C5%9Fanl%C4%B1_Ali_Destan%C4%B1_(dizi,_2011)",2011
/wiki/Kur%C5%9Fun_Bilal,2011
/wiki/Kuzey_G%C3%BCney,2011
"/wiki/K%C3%BC%C3%A7%C3%BCk_Han%C4%B1mefendi_(dizi,_2011)",2011
/wiki/Leyla_ile_Mecnun_(dizi),2011
/wiki/Mavi_Kelebekler,2011
/wiki/Mazi_Kalbimde_Yarad%C4%B1r_(dizi),2011
/wiki/Muhte%C5%9Fem_Y%C3%BCzy%C4%B1l,2011
/wiki/Pis_Yedili_(dizi),2011
/wiki/Reis_(dizi),2011
/wiki/Sen_de_Gitme_(dizi),2011
/wiki/Sihirli_Annem,2011
/wiki/T%C3%B6vbeler_T%C3%B6vbesi,2011
/wiki/Umutsuz_Ev_Kad%C4%B1nlar%C4%B1,2011
/wiki/%C3%9Csk%C3%BCdar%27a_Giderken,2011
/wiki/Yamak_Ahmet,2011
/wiki/6_Mant%C4%B1,2012
/wiki/Acayip_Hikayeler,2012
/wiki/Ad%C4%B1n%C4%B1_Feriha_Koydum:_Emir%27in_Yolu,2012
/wiki/A%C4%9F%C4%B1r_Roman_Yeni_D%C3%BCnya,2012
/wiki/Benim_%C4%B0%C3%A7in_%C3%9Cz%C3%BClme_(dizi),2012
/wiki/Bir_Zamanlar_Osmanl%C4%B1,2012
/wiki/B%C3%B6yle_Bitmesin,2012
/wiki/Dila_Han%C4%B1m_(dizi),2012
/wiki/D%C3%BC%C5%9Fman_Karde%C5%9Fler_(dizi),2012
/wiki/Esir_%C5%9Eehrin_G%C3%B6zya%C5%9Flar%C4%B1_-_Bir_Ferhat_ile_%C5%9Eirin_Hikayesi,2012
/wiki/Eve_D%C3%BC%C5%9Fen_Y%C4%B1ld%C4%B1r%C4%B1m,2012
/wiki/Evlerden_Biri_(dizi),2012
/wiki/Harem_(dizi),2012
/wiki/Hayat%C4%B1m%C4%B1n_Rol%C3%BC_(dizi),2012
/wiki/Huzur_Soka%C4%9F%C4%B1_(dizi),2012
/wiki/%C4%B0breti_Ailem,2012
/wiki/%C4%B0ki_D%C3%BCnya_Aras%C4%B1nda,2012
/wiki/%C4%B0%C5%9Fler_G%C3%BC%C3%A7ler,2012
/wiki/Karaday%C4%B1_(dizi),2012
/wiki/Kay%C4%B1p_%C5%9Eehir_(dizi),2012
/wiki/Koyu_K%C4%B1rm%C4%B1z%C4%B1,2012
/wiki/K%C3%B6t%C3%BC_Yol_(dizi),2012
/wiki/Kurt_Kanunu_(dizi),2012
